52,9454
132,15451
204,16032
50,13192
35,9220
210,18260
191,14580
158,18575
256,20163
56,8484
338,20736
42,8936
140,14432
185,16789
147,15806
43,9343
40,8888
170,13411
148,16580
122,11844
62,12653
216,15033
33.4,9542
138,15505
270,19602
158,18942
140,15555
140,15730
165,16272
135,16666
98,13424
55,15380
42,7700
45,9574
310,15656
69,12105
160,11440
190,17517
210,18180
140,14893
30,8571
75,22388
137,16167
296,23078
134,15764
46,7931
156,17197
173,15700
36,8780
110,11956
49,9800
330,21428
35,7446
72,15000
49,12894
105,16121
155,17613
156,17727
155,12015
189,21081
45,9574
186,16800
129,13298
145,13992
114,13902
188,15615
51,8644
35,8750
56,9032
50,10869
170,17017
148,16481
52,9811
98,19600
180,16981
105,16587
63,9692
45,10714
55,8870
44,8461
80,8602
51,10625
156,17727
155,12015
189,21081
49,9245
50,8333
96,10549
158,12440
500,20746
165,14732
135,13917
186,13880
123,18449
35,8974
132,13750
115,14024
210,21649
210,19387
58,14146
50,10000
145,16292
215,18500
58,8923
278,18791
48,9600
230,20664
78,8863
29,7435
390,29770
89,12898
134,15952
63,14000
218,14155
167,18675
600,15000
110,11956
135,15472
76,20000
128,16171
67,8933
55,8870
44,8461
80,8602
51,10625
105,15190
57,11632
188,15615
166,15809
49,9800
143,18719
174,13920
105,14000
50,10869
61,11296
80,20980
61,9682
72,13846
510,20647
83,17659
41,8200
80,16326
61,8133
186,20882
69,7931
65,14130
59,11800
55,10784
88,10000
55,10784
77,13750
104,17639
150,15000
163,17438
191,14580
50,10204
50,10204
205,24788
180,21264
175,16534
115,13372
59,10727
39,7090
54,10800
57,10961
82,14909
51,10625
50,13888
56,11200
55,10000
60,15384
188,15615
188,15615
380,25724
81,18000
160,13445
140,15555
204,16032
93,14307
155,12015
82,14909
65,8024
51,10625
50,13888
56,11200
55,10000
60,15384
58,8787
59,8939
46,8846
110,11458
49.8,9960
50,10638
288,20209
49,8909
51,9622
96,9600
53,10192
37,8809
25,6578
89,12898
73,10735
47,8867
255,17732
75,17507
49,10000
50.5,10520
58,9206
76,8837
86,10000
60,10000
228,16330
83,12968
86,10000
69,13269
87,10000
39.6,8800
175,16666
158,13739
58,9830
48,11162
38,10000
76,8837
162,18315
48,9600
165.4,16536
163,15673
110,22000
75,16304
46,7419
65,8227
680,30088
155,12015
205,16111
168,17009
35,7142
35,10000
150,11627
125,14847
155,15816
48,11162
38,10000
76,8837
162,18315
48,9600
165.4,16536
163,15673
230,23469
75,16304
46,7419
680,30088
52.8,11000
75,16666
106,14520
56,8484
50,9090
52,5652
59,10727
67,9710
58,9666
48,11428
253,17448
84,15555
47,10444
44,11000
155,15816
52,11304
180,16822
185,14800
53.8,11024
635,20819
64,8888
176,14921
180,16981
59,9672
55,10000
132,22000
175,14787
280,22277
68,7555
135,15053
152,12816
185,20640
132,14352
189,14427
138,15584
189,14427
143,18449
116,15466
129,15462
212,14638
190,18828
210,17142
120,14438
360,27272
165,14732
105,13161
248,17464
137,14751
75,14423
58,10545
170,16048
69,8414
57.8,9031
120,14438
360,27272
165,14732
105,13161
137,14751
140,15555
208,15182
188,18447
130,21666
47,9400
172,20093
63,14000
180,20062
188,18447
118,12032
110,23913
155,15085
55,9482
325,22585
288,21492
51,9272
192,20614
296,24065
75,14423
129.9,13255
340,20561
152,21714
50,8396
132,18675
190,15447
180,14754
450,21428
54,9818
145,16246
56,14358
153,14166
175,15196
93,12836
62,9538
245,17184
128,16410
55,15380
280,19606
173,15700
200,23897
45,6818
183,19100
310,20394
132,16097
140,20588
129,14021
155,17577
50,8064
195,15354
160,17977
150,14705
170,16048
69,8414
80,9302
132,16097
140,20588
129,14021
155,17577
50,8064
206,18965
195,15354
160,17977
80,11764
178,14590
150,14705
190,19191
158,18711
122,15367
206,23086
240,18614
210,17142
170,13411
185,16064
30,7692
57,14615
39,7800
63.5,9338
200,16949
145,14646
26,7222
49,11395
81,14464
35,8750
30,6250
100,21276
252,22206
219,24065
25,7142
65,10636
66,9670
